customerid,name,address,citystatezip,birthdate,phone
1070,"Jason Hernandez","3520 3rd St","Palm Coast, FL 32164","1998-02-12","941-456-0174"
1071,"Craig Smith","149 79th St","Brooklyn, NY 11209","1991-09-03","516-349-5225"
1072,"Colleen Stewart","37-23 30th Ave","Astoria, NY 11103","1955-11-10","347-379-9898"
1073,"Heidi Miller","20-20 154th St","Whitestone, NY 11357","1995-11-21","914-703-0337"
1074,"Derek Mclaughlin","4259 Fieldston Rd","Bronx, NY 10471","1996-08-01","716-582-2269"
1075,"Cindy Robinson","22-39 80th St","East Elmhurst, NY 11370","1957-09-04","516-528-9502"
1076,"Roger Coleman","223½ E 7th St","Manhattan, NY 10009","1978-03-14","680-476-7973"
1077,"Frank Contreras Jr.","1047 Woodycrest Ave","Bronx, NY 10452","1982-12-10","716-365-5777"
1078,"Eric Brown","3186A Barnes Ave","Bronx, NY 10467","1982-04-16","838-862-8138"
1079,"Amanda Bennett","2996 Heath Ave","Bronx, NY 10463","1955-10-29","332-966-3718"
1080,"Theresa Johnson","105-2 160th St","Jamaica, NY 11433","1952-03-29","585-323-9754"
1081,"Shawn Hayes","4488 Park Ave","Brawley, CA 92227","1987-03-31","805-921-7524"
1082,"Lindsay Rodriguez","796 12th Dr SW","Midlothian, IL 60445","1996-09-21","447-924-4496"
1083,"Sam Dixon","479A Crown St","Brooklyn, NY 11213","1972-07-09","680-331-2832"
1084,"Laura Smith","2106 Watson Ave","Bronx, NY 10472","1958-02-06","838-594-1823"
1085,"Peter Sellers","880 Oak Dr N","Galveston, TX 77551","1995-11-20","409-725-8441"
1086,"Katherine Green","1258 78th St","Orlando, FL 32803","1953-07-28","850-492-0347"
1087,"Lisa Rice","1502 6th St N","New York, NY 10016","1962-12-31","838-837-9655"
1088,"Andrew Gonzales","246 Greenwood Ave","Brooklyn, NY 11218","1965-12-04","315-945-5418"
1089,"Elizabeth Barron","566A Liberty Ave","Staten Island, NY 10305","1995-08-19","516-784-9143"
1090,"Matthew Bass","62-39 75th Pl","Middle Village, NY 11379","1960-10-27","631-507-2578"
1091,"William Shah","594 SW 6th St","Checotah, OK 74426","1986-05-23","918-681-1601"
1092,"Mary Rush","4119 Gunther Ave","Bronx, NY 10466","1988-10-08","315-408-8225"
1093,"Paige Torres","158-90 Gipson St","Far Rockaway, NY 11691","1964-11-06","838-496-6265"
1094,"Kara Mccullough","972 NE Park Way","New York, NY 11104","1946-05-17","716-251-2601"
1095,"Alicia Serrano","41 Plaza St E","Brooklyn, NY 11238","1946-08-12","516-840-0109"
1096,"Amy Peterson","44-59 74th St","Woodside, NY 11377","1951-09-24","845-279-9541"
1097,"Joshua Peterson","516 E 86th St","Manhattan, NY 10128","1960-11-12","516-665-8520"
1098,"Luke Avila","874 Lee Pl N","Virginia Beach, VA 23457","1937-01-09","703-903-2337"
1099,"Courtney Cummings","152-59 64th Ave","Flushing, NY 11367","1949-01-06","716-480-2317"
1100,"Warren Garcia","3717 7th Ave","Shamokin, PA 17872","1960-02-27","570-395-3451"
1101,"Alyssa Nguyen","4626 Park Ln NW","Richmond, VA 23222","1981-06-10","571-811-1195"
1102,"Lauren Graham","904 I St","Bronx, NY 10473","1963-06-16","838-876-7455"
1103,"Jaime Danielle Lin","1506 Selwyn Ave","Bronx, NY 10457","1987-06-20","516-270-1105"
1104,"Joshua Peters","2796 Claflin Ave","Bronx, NY 10468","1952-10-27","585-366-5106"
1105,"Michael Velazquez","395 63rd St","Brooklyn, NY 11220","1961-04-21","585-816-2368"
1106,"David Warner","20-17 48th St","Astoria, NY 11105","1966-12-10","646-200-6363"
1107,"Stephanie Simon","160 SE 9th Way","Greendale, WI 53129","1966-03-20","920-349-3005"
1108,"Ryan Wright","260 Moffat St","Brooklyn, NY 11207","1983-08-12","516-290-9800"
1109,"Robert Wilkinson","969A E 79th St","Brooklyn, NY 11236","1998-07-21","315-849-4539"
1110,"Keith Gamble III","1278 W Cedar Rd","Victorville, CA 92394","1978-12-17","909-657-3312"
1111,"Jacob Porter V","132-40 Sutter Ave","South Ozone Park, NY 11420","1977-02-12","631-686-2479"
1112,"Barbara Krystal Reeves","101-24 212th St","Queens Village, NY 11429","1967-06-25","680-765-4131"
1113,"Amanda Sampson","92 E 161st St","Bronx, NY 10451","1940-10-11","914-540-6362"
1114,"Eric Morris","3329 Park Ave","Los Angeles, CA 91602","1956-05-09","805-403-3992"
1115,"Nick Sanders","846 Flatbush Ave","Brooklyn, NY 11226","1981-04-30","914-915-7427"
1116,"Dennis Valentine","1404 Jesup Ave","Bronx, NY 10452","1976-04-24","914-636-9683"
1117,"Mario Haynes","436½ Grand Ave","Brooklyn, NY 11238","1976-09-02","315-571-6606"
1118,"William Fowler","2769 Rear E 12th St","Brooklyn, NY 11235","1999-03-08","838-459-3419"
1119,"Lawrence Estrada","217A E Broadway","Manhattan, NY 10002","1993-03-12","718-286-3908"
1120,"Dwayne Figueroa","218 Maple Dr","Nazareth, PA 18064","1984-07-06","814-940-6063"
1121,"David Barnett","96 Bay 31st St","Brooklyn, NY 11214","1955-09-05","347-226-2427"
1122,"Ronald Brown","3941 Park St SW","Rochester, MN 55901","1989-06-17","507-964-9029"
1123,"Jeanette Maldonado","168-57 Liberty Ave","Jamaica, NY 11433","1951-06-01","838-456-9462"
1124,"Michael Mcdonald","792 76th Ave NW","Reddick, FL 32686","2000-11-22","772-448-7712"
1125,"Jesse Walker","2175 Ryer Ave","Bronx, NY 10457","1956-08-25","914-634-8086"
1126,"Jasmine Parrish","4734 Cedar Way W","Houston, TX 77005","1943-04-28","469-440-8611"
1127,"Thomas Reyes","1075 SE Oak Ave","Houston, TX 77009","1999-03-15","346-909-8768"
1128,"Richard Edwards","951C Forest Ave","Staten Island, NY 10310","1965-08-09","838-580-4382"
1129,"Clarence Cain","11 Landis Ct","Brooklyn, NY 11229","1999-04-25","585-523-0323"
1130,"Jennifer Lane","54 Orient Ave","Brooklyn, NY 11211","1994-12-26","838-815-4709"
1131,"Matthew Carter","31½ Victory Blvd","Staten Island, NY 10301","1969-01-02","838-835-3678"
1132,"David Morris","1720 S 3rd Way","Newport News, VA 23602","1962-03-09","434-246-1832"
1133,"Paul Nelson","2436 N 6th St","Pittsburgh, PA 15260","1957-02-02","610-891-3031"
1134,"Judith Jones","34-38 Leavitt St","Flushing, NY 11354","1991-03-15","516-695-5819"
1135,"Jeffrey Anderson","10-34 49th Ave","Long Island City, NY 11101","1995-11-21","934-564-5340"
1136,"Gregory Gomez","103 Story St","Brooklyn, NY 11218","1959-12-01","315-508-7213"
1137,"Lynn Johnson","86-7 Britton Ave","Elmhurst, NY 11373","1981-01-31","716-606-6788"
1138,"Janet Edwards","70-30 70th St","Ridgewood, NY 11385","1962-06-25","516-323-0266"
1139,"Kimberly Jefferson","11 Gracie Square","Manhattan, NY 10028","1945-03-19","516-754-8801"
1140,"Karen Brewer","2675 Heath Ave","Bronx, NY 10463","1938-10-28","838-490-0013"
1141,"Stephanie Hernandez","3218 Quentin Rd","Brooklyn, NY 11234","1984-10-02","607-204-7400"
1142,"Cindy Arias","63-39 Bourton St","Rego Park, NY 11374","1984-09-25","516-328-5251"
1143,"Anna Fields","1485 Park Ave SE","Iowa Falls, IA 50126","1992-07-06","641-323-7123"
1144,"Ricardo Smith","1250 Ave Y","Brooklyn, NY 11235","1981-09-16","315-528-2891"
1145,"Jason Fields Jr.","75-36 211th St","Oakland Gardens, NY 11364","1991-03-13","680-924-5449"
1146,"Elizabeth Tate","2369 SW Maple Ave","Huntington, WV 25703","1993-07-07","681-499-2945"
1147,"Todd Knight","1072 E 215th St","Bronx, NY 10469","1978-10-15","838-836-1914"
1148,"John Watson","93-18 Sutter Ave","Ozone Park, NY 11417","1984-09-17","838-722-7028"
1149,"Hunter Marshall","347 Liberty Ave","Brooklyn, NY 11207","1990-07-05","680-317-2080"
1150,"Suzanne Davila","3396 Dogwood Way","Charlotte, NC 28206","1980-07-06","704-720-4062"
1151,"Gregory Vance","1456 Park Way","Indianapolis, IN 46224","1979-11-19","765-281-9149"
1152,"April Reynolds","3119 Park Rd SW","Omaha, NE 68102","1958-04-15","531-313-8952"
1153,"Oscar Smith","25-12 9th St","Astoria, NY 11102","1953-01-12","914-665-0204"
1154,"Jacob Hebert","4462 Pine Ln SE","Ashdown, AR 71822","1986-12-13","870-263-1780"
1155,"Laura Sanchez","97 E 23rd St","Manhattan, NY 10010","1960-12-17","838-632-9157"
1156,"Heather Williams","65A Waverly Ave","Brooklyn, NY 11205","1984-03-08","914-322-0120"
1157,"Theresa Debbie Mcdaniel","186 E 3rd St","Manhattan, NY 10009","1970-07-15","838-701-5142"
1158,"Todd Garcia","1972 9th Rd S","Cleveland, OH 44104","1989-06-14","380-227-0827"
1159,"Kevin Jones","124 Highland Blvd","Brooklyn, NY 11207","1957-02-02","516-408-6628"
1160,"Patricia Berg","92-41 Sutter Ave","Ozone Park, NY 11417","1974-06-19","585-923-1716"
1161,"Barbara Fry","3642 12th Way W","Georgetown, TX 78626","1953-04-21","903-499-8616"
1162,"Brittany Serrano","73A Kensington Ave","Staten Island, NY 10305","1951-02-17","516-960-3698"
1163,"Kara Monroe","25-28 28th Ave","Astoria, NY 11102","1990-05-13","838-488-1920"
1164,"Christina Rebecca Bowman","39-1 30th Ave","Astoria, NY 11103","1983-02-18","516-983-3095"
1165,"Beth Wilson","3983 E 9th Ave","Memphis, TN 38118","1953-11-18","615-445-0358"
1166,"Kimberly Kelly Lopez","6016 Spencer Ave","Bronx, NY 10471","1943-04-24","585-541-1479"
1167,"Megan Prince","3985A Duryea Ave","Bronx, NY 10466","1970-01-26","838-764-1601"
1168,"Heather Sims","23-24 48th St","Astoria, NY 11103","1951-10-31","516-677-8480"
1169,"Ronnie Golden","49-36 58th St","Woodside, NY 11377","1980-01-25","315-878-7391"
1170,"Jeffrey Harris","88-12 139th St","Jamaica, NY 11435","1977-04-30","585-466-1047"
1171,"David Hall","1485B Broadway","Brooklyn, NY 11221","1953-04-22","838-645-0528"
1172,"Richard Dunn IV","4924 W 1st Way","Dallas, TX 75032","1960-02-06","409-868-9712"
1173,"Joseph Thompson","4642 Park Ave NW","Los Angeles, CA 91040","1956-09-03","619-796-9537"
1174,"Nicole Wilson","955 Crawford Ave","Brooklyn, NY 11223","1958-06-22","838-574-6375"
1175,"Jill Tracy Mora","288A W 57th St","Manhattan, NY 10019","1953-12-01","838-247-4492"
1176,"Samuel Estes","97-38 Ditmars Blvd","East Elmhurst, NY 11369","1957-10-05","680-598-7719"
1177,"Cole Moore Jr.","27-30 43rd St","Astoria, NY 11103","1979-04-30","838-439-1726"
1178,"Julie Simpson","57-14 37th Ave","Woodside, NY 11377","1955-11-06","845-786-9761"
1179,"Chad Gonzalez","444 W 260th St","Bronx, NY 10471","1991-10-14","585-899-9053"
1180,"George Nelson","4965 Maple Ave","Sault Ste. Marie, MI 49783","2000-10-27","810-780-5127"
1181,"Emily Cabrera","71-42 Manse St","Forest Hills, NY 11375","1991-08-16","315-858-8536"
1182,"Daniel Garcia","760A E 215th St","Bronx, NY 10467","1979-02-17","315-708-9951"
1183,"Michael Cochran","257-18 Hillside Ave","Glen Oaks, NY 11004","1993-03-29","315-233-2451"
1184,"Jeffrey White","459 W 81st Pl","San Juan, PR 00913","1994-04-12","521-945-0864"
1185,"Jason Black","2114A Jerome Ave","Bronx, NY 10453","1951-08-20","332-704-4417"
1186,"Michael Ritter","78-48 Metropolitan Ave","Middle Village, NY 11379","1992-09-21","516-214-0455"
1187,"Cathy Rodriguez","261A E 7th St","Manhattan, NY 10009","1991-08-08","585-509-3718"
1188,"Cathy Sarah Silva","1460A Ogden Ave","Bronx, NY 10452","1946-11-21","607-670-4483"
1189,"Troy Bennett","128R Governors Island","Manhattan, NY 10004","1957-12-09","607-991-5582"
1190,"Sam Herrera","51-72 Kissena Blvd","Flushing, NY 11355","1962-04-27","315-307-5984"
1191,"Evan Mcdonald","100B Oakville St","Staten Island, NY 10314","1975-02-03","315-477-3486"
1192,"Ebony Stewart","43-44 Smart St","Flushing, NY 11355","1974-01-18","516-868-0460"
1193,"Michael Skinner","210-20 Union Turnpike","Oakland Gardens, NY 11364","1974-11-11","845-746-7032"
1194,"Diane Cindy Cardenas","1825 N Aspen Ave","Denver, CO 80220","1985-12-22","970-686-9171"
1195,"Amanda Griffin","970 E 167th St","Bronx, NY 10459","1994-08-02","516-312-8275"
1196,"Dennis Levy","110-53 42nd Ave","Corona, NY 11368","1975-12-08","585-493-5684"
1197,"Michael Mercado","633 Park Dr","St. Louis, MO 63112","1987-08-02","314-601-3009"
1198,"Cody Johnson","490B Henry St","Brooklyn, NY 11231","1952-08-03","914-332-0350"
1199,"Austin Castillo","3613 NE Oak Dr","Sherwood, AR 72117","1987-10-22","870-619-5353"
1200,"Sara Love","3988 W Lee St","Bull Run, VA 20109","1961-04-19","434-405-4623"
1201,"Madison Cruz","28-2 156th St","Flushing, NY 11354","1964-03-13","838-302-9359"
1202,"Erin Williams","437 Marcy Ave","Brooklyn, NY 11206","1973-10-17","838-628-1035"
1203,"Jennifer Matthews","4189 N Dogwood Way","Atlanta, GA 30327","1965-07-25","470-925-2697"
1204,"Ana Coleman","3099 Park Rd NE","Azusa, CA 91010","1956-08-23","510-254-7967"
1205,"Susan Dickerson","4413 Aspen Way","Denver, CO 80204","1964-12-05","719-887-9832"
1206,"Emily Hopkins","5 Keen Ct","Brooklyn, NY 11229","1978-04-29","332-706-4426"
1207,"Vernon Harrison","679 Waring Ave","Bronx, NY 10467","1998-03-01","315-491-5969"
1208,"Amber Harris","2544 E 13th St","Brooklyn, NY 11235","1940-09-07","631-817-2133"
1209,"James Santos","4210 NW 11th Ave","Moravian Falls, NC 28697","1964-08-21","743-658-5548"
1210,"Kaitlyn Andrea Lin","588 W 57th St","Manhattan, NY 10019","1978-01-31","332-448-6177"
1211,"Nicole Turner","763 Woolley Ave","Staten Island, NY 10314","1979-11-06","516-259-3204"
1212,"Jacob Malone","1388 Mayflower Ave","Bronx, NY 10461","1969-10-16","516-268-0822"
1213,"Jessica Evans","332 W 118th St","Manhattan, NY 10026","1971-12-19","516-487-9955"
1214,"Christopher Estrada","84-8 Lefferts Blvd","Kew Gardens, NY 11415","1965-10-07","332-833-5482"
1215,"Sharon Sally Lewis","4174 N Park Ave","Federal Way, WA 98023","1972-01-31","564-365-3838"
1216,"Rebecca Byrd","161 W 71st St","Manhattan, NY 10023","1955-01-09","914-896-1467"
1217,"David Hernandez","3298 Park St","Lincoln, NE 68506","1956-01-05","531-505-0178"
1218,"Kelly Osborne","221 Riverside Dr","Manhattan, NY 10025","1999-06-13","585-657-8258"
1219,"Vernon Forbes","79 Apollo St","Brooklyn, NY 11222","1995-10-02","516-726-5589"
1220,"Keith Powell","2587 N 1st Way","Central Square, NY 13036","1983-07-03","838-829-9880"
1221,"Hailey Wolfe","88-66 Sutphin Blvd","Jamaica, NY 11435","1961-04-11","516-465-0354"
1222,"Shannon Nguyen","2235 Cedar Ave","Bronx, NY 10468","1996-10-05","332-959-4594"
1223,"Logan Sawyer","614D Grand Ave","Brooklyn, NY 11238","1974-03-11","516-446-4461"
1224,"Bryce Wright Jr.","406 E 74th St","Manhattan, NY 10021","1969-10-02","516-216-6675"
1225,"Matthew Rice","1895 Park Pl SE","Dallas, TX 75217","1999-04-21","254-817-7900"
1226,"Julia Brown","313A Beach 35th St","Far Rockaway, NY 11691","1978-11-01","516-207-8080"
1227,"Rachel Herrera","3459 E Main Way","Ogden, UT 84408","1999-04-20","385-395-3212"
1228,"Christopher Bennett","859 E 133rd St","Bronx, NY 10454","1944-05-03","516-686-9853"
1229,"Steven King","1953 SW 6th St","Hartford, CT 06112","1976-04-20","860-226-1358"
1230,"Madison Johnson","1884A E 16th St","Brooklyn, NY 11229","1980-04-07","914-652-1879"
1231,"Patrick Pearson","435½ Broadway","Manhattan, NY 10013","1983-02-20","516-520-4339"
1232,"Howard Schultz","927 W 21st St","Miami, FL 33142","1967-04-27","561-800-4336"
1233,"Anthony Willis","794B Southern Blvd","Bronx, NY 10455","1945-02-04","315-524-3860"
1234,"Bailey Carroll","3508 N 1st Pl","Riverside, CA 92505","1993-06-20","408-738-5176"
1235,"Michelle Jefferson","4649 Park Rd S","West Carrollton, OH 45449","1977-10-27","326-814-7625"
1236,"Madeline Andrews","84-39 125th St","Kew Gardens, NY 11415","1980-11-23","516-985-1743"
1237,"Mark Gray Jr.","319 Beach 13th St","Far Rockaway, NY 11691","1951-05-22","716-531-1729"
1238,"Veronica Smith","78-2 Woodside Ave","Elmhurst, NY 11373","1981-12-30","680-464-6491"
1239,"Brenda Chung","26A E 31st St","Brooklyn, NY 11226","1960-09-24","914-851-5028"
1240,"John Mueller","248B Buffalo Ave","Brooklyn, NY 11213","1973-01-02","838-619-1905"
1241,"Tracy Tricia Mcintyre","111-16 194th St","Saint Albans, NY 11412","1963-09-12","516-582-6329"
1242,"Jeremy Arnold","125-24 Atlantic Ave","South Richmond Hill, NY 11419","1962-09-16","716-695-9945"
1243,"Nicholas Obrien","831 Bay Ridge Ave","Brooklyn, NY 11220","1997-05-18","585-238-9821"
1244,"Walter Mcmillan","18½ W 10th St","Manhattan, NY 10011","1960-10-10","838-564-5512"
1245,"Candice Carroll","185 Montague St","Brooklyn, NY 11201","1956-04-12","631-352-7812"
1246,"Cory Jones","2523A 86th St","Brooklyn, NY 11214","1967-11-05","516-720-1955"
1247,"Michael Foster","375A Travis Ave","Staten Island, NY 10314","1977-05-29","929-761-1065"
1248,"Trevor Moore","87-85 96th St","Woodhaven, NY 11421","2000-04-25","838-206-1281"
1249,"Maria Hall","3515 Redwood Dr","Riverside, CA 92521","2000-07-07","619-910-5560"
1250,"Lisa Perez","599 Westminster Rd","Brooklyn, NY 11230","1990-05-24","516-578-7526"
1251,"Denise Johnson","42-13 Ingram St","Forest Hills, NY 11375","1980-10-08","332-235-4827"
1252,"Garrett Cannon","134-54 Elder Ave","Flushing, NY 11355","1956-07-23","315-991-3499"
1253,"Grant Moody II","3877 Park Ln W","Davenport, IA 52804","1983-05-06","515-960-9491"
1254,"Tristan Warner","135-35 62nd Ave","Flushing, NY 11367","1970-03-20","212-234-4766"
1255,"Micheal Doyle","2246 Plumb 2nd St","Brooklyn, NY 11229","1989-05-26","315-692-5360"
1256,"Pamela Bennett","105A Halsey St","Brooklyn, NY 11216","1964-05-19","585-642-1152"
1257,"Elizabeth Porter","4209 SE Park Way","McAllen, TX 78503","1971-09-03","915-397-6356"
1258,"Michelle Wilson","166-35 Nashville Blvd","Cambria Heights, NY 11411","1965-06-20","631-751-0406"
1259,"Rachel Armstrong","132-80 Guy R Brewer Blvd","Jamaica, NY 11434","1960-09-07","914-897-6728"
1260,"Michael Turner","117-75 141st St","Jamaica, NY 11436","1969-03-13","716-932-0601"
1261,"Matthew Durham","4956 Park St SE","Corpus Christi, TX 78401","1959-11-22","682-840-7899"
1262,"Anna Rodriguez","206 Gar E 169th St","Bronx, NY 10456","1985-06-03","914-818-0036"
1263,"Jessica Sarah Wheeler","3046 Kings Highway","Brooklyn, NY 11234","1992-10-29","838-979-2552"
1264,"Cheyenne Klein","3940A 10th Ave","Manhattan, NY 10034","1969-04-01","838-237-0717"
1265,"Kelsey Bray","932 SE 10th Way","Brooklyn, NY 11214","1998-05-27","838-672-0819"
1266,"Regina Reyes","51 Hanson Pl","Brooklyn, NY 11217","1986-12-03","585-574-0205"
1267,"Karen Gonzalez","113 W 22nd St","Manhattan, NY 10011","1972-09-13","315-508-0525"
1268,"Joseph Bass","204 W 88th St","Manhattan, NY 10024","1982-10-13","516-300-7622"
1269,"Travis Andrews","263 Meserole Ave","Brooklyn, NY 11222","1995-12-13","838-523-7307"
1270,"Leslie Brown","5547 Whitty Ln","Brooklyn, NY 11203","1958-10-08","838-736-9348"
1271,"Jay Vasquez Jr.","1872 E Tremont Ave","Bronx, NY 10460","1970-04-15","631-825-8312"
1272,"Kathleen Marissa Johnson","1825 Madison Ave","Manhattan, NY 10035","1966-01-07","838-721-5040"
1273,"Matthew Welch","2122 W Park Ave","Union Hill-Novelty Hill, WA 98077","1995-08-11","425-792-4971"
1274,"Terrance Mcguire","169 Pine Pl","South Lyon, MI 48178","1968-11-25","313-653-2741"
1275,"Charles Nelson","13 Ridgewood Ave","Staten Island, NY 10312","1959-03-13","516-889-0051"
1276,"James Landry","2036 Park Way NW","Quincy, IL 62301","1960-08-10","872-520-0688"
1277,"Philip Harding","1498 Apache Ln","Surprise, AZ 85387","1976-08-11","928-702-4854"
1278,"Harry Mcbride","988 SE 2nd Rd","Lewellen, NE 69147","1991-03-25","308-829-6342"
1279,"Carlos Glover","160-26 15th Dr","Whitestone, NY 11357","1967-09-17","332-694-2389"
1280,"Sarah Kramer","47-36 156th St","Flushing, NY 11355","1977-03-24","315-532-0729"
1281,"Luke Castillo","367C E Tremont Ave","Bronx, NY 10457","1988-07-18","631-493-5722"
